2CO 1:23,ἦλθον,n47001023015,φειδόμενος,"['n47001023012', 'n47001023013']"
2CO 2:3,σχῶ,n47002003009,ἐλθὼν,['n47002003007']
2CO 2:13,ἐξῆλθον,n47002013018,ἀποταξάμενος,"['n47002013016', 'n47002013017']"
2CO 3:7,ἐγενήθη,n47003007011,ἐντετυπωμένη,"['n47003007007', 'n47003007008', 'n47003007009', 'n47003007010']"
2CO 3:7,ἔσται,n47003008008,ἐντετυπωμένη,"['n47003007001', 'n47003007003', 'n47003007004', 'n47003007005', 'n47003007006', 'n47003007007', 'n47003007008', 'n47003007009', 'n47003007010', 'n47003007011', 'n47003007012', 'n47003007013', 'n47003007014', 'n47003007015', 'n47003007016', 'n47003007018', 'n47003007019', 'n47003007020', 'n47003007017', 'n47003007021', 'n47003007022', 'n47003007023', 'n47003007024', 'n47003007025', 'n47003007026', 'n47003007027', 'n47003007028', 'n47003007029', 'n47003007030', 'n47003007031', 'n47003007032']"
2CO 3:12,χρώμεθα,n47003012007,Ἔχοντες,"['n47003012001', 'n47003012003', 'n47003012004']"
2CO 3:18,μεταμορφούμεθα,n47003018013,κατοπτριζόμενοι,"['n47003018006', 'n47003018007', 'n47003018008', 'n47003018009']"
2CO 3:18,μεταμορφούμεθα,n47003018013,ἀνακεκαλυμμένῳ,"['n47003018004', 'n47003018005']"
2CO 4:13,πιστεύομεν,n47004013016,Ἔχοντες,"['n47004013001', 'n47004013003', 'n47004013004', 'n47004013005', 'n47004013006', 'n47004013007']"
2CO 4:15,περισσεύσῃ,n47004015015,πλεονάσασα,"['n47004015009', 'n47004015010', 'n47004015011', 'n47004015012']"
2CO 5:6,ἐκδημοῦμεν,n47005006011,ἐνδημοῦντες,"['n47005006007', 'n47005006008', 'n47005006009', 'n47005006010']"
2CO 5:11,πείθομεν,n47005011008,Εἰδότες,"['n47005011001', 'n47005011003', 'n47005011004', 'n47005011005', 'n47005011006']"
2CO 6:1,παρακαλοῦμεν,n47006001004,Συνεργοῦντες,['n47006001001']
2CO 7:1,καθαρίσωμεν,n47007001007,ἔχοντες,"['n47007001003', 'n47007001001', 'n47007001004', 'n47007001005']"
2CO 8:17,ἐξῆλθεν,n47008017010,ὑπάρχων,"['n47008017006', 'n47008017008']"
2CO 9:8,περισσεύητε,n47009008017,ἔχοντες,"['n47009008014', 'n47009008015', 'n47009008016']"
2CO 10:1,θαρρῶ,n47010001023,ἀπὼν,['n47010001021']
2CO 10:2,θαρρῆσαι,n47010002006,παρὼν,['n47010002005']
2CO 10:3,στρατευόμεθα,n47010003008,περιπατοῦντες,"['n47010003001', 'n47010003002', 'n47010003004']"
2CO 10:12,συνιᾶσιν,n47010012023,μετροῦντες/συγκρίνοντες,"['n47010012014', 'n47010012015', 'n47010012016', 'n47010012017', 'n47010012018', 'n47010012019', 'n47010012020', 'n47010012021']"
2CO 10:14,ὑπερεκτείνομεν,n47010014008,ἐφικνούμενοι,"['n47010014003', 'n47010014004', 'n47010014005', 'n47010014006', 'n47010014007']"
2CO 11:9,κατενάρκησα,n47011009008,παρὼν/ὑστερηθεὶς,"['n47011009002', 'n47011009003', 'n47011009004', 'n47011009005', 'n47011009006']"
2CO 11:23,λαλῶ,n47011023005,παραφρονῶν,['n47011023004']
2CO 12:15,ἀγαπῶμαι,n47012015016,ἀγαπῶν,"['n47012015011', 'n47012015012', 'n47012015013', 'n47012015014']"
2CO 12:16,ἔλαβον,n47012016012,ὑπάρχων,"['n47012016008', 'n47012016009']"
2CO 12:20,εὕρω,n47012020009,ἐλθὼν,['n47012020005']
2CO 13:10,γράφω,n47013010005,ἀπὼν,['n47013010004']
2CO 13:10,χρήσωμαι,n47013010010,παρὼν,['n47013010007']
2CO 2:12,Ἐλθὼν,n47002012001,Ἐλθὼν,"['n47002012001', 'n47002012003', 'n47002012004', 'n47002012005', 'n47002012006', 'n47002012007', 'n47002012008', 'n47002012009', 'n47002012010']"
2CO 4:8,θλιβόμενοι,n47004008003,θλιβόμενοι,"['n47004008001', 'n47004008002', 'n47004008003']"
2CO 5:6,Θαρροῦντες,n47005006001,Θαρροῦντες,"['n47005006001', 'n47005006003']"
2CO 7:5,ἐλθόντων,n47007005003,ἐλθόντων,"['n47007005001', 'n47007005003', 'n47007005004', 'n47007005005', 'n47007005006']"
2CO 8:24,ἐνδεικνύμενοι,n47008024014,ἐνδεικνύμενοι,"['n47008024001', 'n47008024003', 'n47008024004', 'n47008024005', 'n47008024006', 'n47008024007', 'n47008024008', 'n47008024009', 'n47008024010', 'n47008024011', 'n47008024012', 'n47008024013', 'n47008024014', 'n47008024015', 'n47008024016', 'n47008024017', 'n47008024018']"
2CO 9:13,δοξάζοντες,n47009013007,δοξάζοντες,"['n47009013001', 'n47009013002', 'n47009013003', 'n47009013004', 'n47009013005', 'n47009013006', 'n47009013007', 'n47009013008', 'n47009013009', 'n47009013010', 'n47009013011', 'n47009013012', 'n47009013013', 'n47009013014', 'n47009013015', 'n47009013016', 'n47009013017', 'n47009013018', 'n47009013019', 'n47009013020', 'n47009013021', 'n47009013022', 'n47009013023', 'n47009013024', 'n47009013025', 'n47009013026', 'n47009013027', 'n47009013028', 'n47009013029']"
2CO 10:15,καυχώμενοι,n47010015005,καυχώμενοι,"['n47010015001', 'n47010015002', 'n47010015003', 'n47010015004', 'n47010015005', 'n47010015006', 'n47010015007', 'n47010015008']"
